cod_ibge,uf,qnt_produzida
2111672,MA,3.4
2112233,MA,12.75
2100956,MA,56.1
2101608,MA,46.75
2104081,MA,6.8
2104800,MA,22.95
2105351,MA,5.1
2105476,MA,6.8
2111805,MA,19.55
2112308,MA,11.049999999999999
2103802,MA,5.1
2104206,MA,16.15
2104503,MA,7.6499999999999995
2110708,MA,12.75
2100154,MA,89.25
2100907,MA,30.599999999999998
2106300,MA,33.15
2110104,MA,17.0
2110237,MA,32.3
2110609,MA,11.049999999999999
2102101,MA,19.55
2102200,MA,15.299999999999999
2103208,MA,20.4
2106409,MA,19.55
2110401,MA,14.45
2112605,MA,26.349999999999998
2103307,MA,5.95
2103604,MA,6.8
2108454,MA,3.4
2112100,MA,5.1
2100303,MA,2.55
2103406,MA,4.25
2103000,MA,28.9
2111078,MA,4.25
2103505,MA,4.25
2105450,MA,4.25
2106706,MA,24.65
2107308,MA,62.9
2102804,MA,41.65
2104057,MA,2.55
2100501,MA,12.75
2101400,MA,54.4
2104107,MA,13.6
2107258,MA,124.95
2111607,MA,193.79999999999998
5101407,MT,10.2
5103379,MT,51.0
5105150,MT,76.5
5105176,MT,35.699999999999996
5103205,MT,17.0
5104104,MT,153.0
5105606,MT,170.0
5106422,MT,102.0
5108055,MT,204.0
5102637,MT,68.0
5103304,MT,35.699999999999996
5103502,MT,428.4
5106273,MT,34.0
5107305,MT,51.0
5104526,MT,20.4
5104542,MT,102.0
5105259,MT,51.0
5106224,MT,102.0
5104559,MT,68.0
5105580,MT,42.5
5106190,MT,42.5
5107909,MT,76.5
5108303,MT,255.0
5100201,MT,442.0
5102603,MT,28.9
5102702,MT,127.5
5106257,MT,170.0
5107065,MT,119.0
5101803,MT,629.0
5101704,MT,66.3
5103452,MT,5.1
5107958,MT,504.9
5105002,MT,20.4
5100508,MT,122.39999999999999
5101308,MT,30.599999999999998
5108857,MT,10.2
5107263,MT,11.049999999999999
5103007,MT,15.299999999999999
5103403,MT,30.599999999999998
5103437,MT,63.75
5102678,MT,119.0
5106653,MT,318.75
5108204,MT,637.5
5104807,MT,249.9
5107602,MT,1836.0
5107404,MT,51.0
5007406,MS,1.7
5002704,MS,24.65
5008008,MS,136.0
5001003,MS,204.0
5000203,MS,10.2
5008305,MS,1.7
5002001,MS,17.0
5004106,MS,42.5
5006002,MS,7.6499999999999995
5003751,MS,17.0
1503002,PA,22.099999999999998
1505106,PA,47.6
1505304,PA,19.55
1500404,PA,208.25
1501451,PA,7.6499999999999995
1504752,PA,33.15
1504802,PA,446.25
1505650,PA,29.75
1506005,PA,306.0
1506807,PA,187.85
1500503,PA,122.39999999999999
1505908,PA,497.25
1504901,PA,510.84999999999997
1505700,PA,210.79999999999998
1506302,PA,136.0
1507904,PA,351.05
1501303,PA,2592.5
1501907,PA,4270.4
1502400,PA,1275.0
1503408,PA,1360.0
1506500,PA,102.0
1507003,PA,3983.1
1502608,PA,42.5
1502905,PA,1275.0
1504109,PA,255.0
1504307,PA,1122.0
1504406,PA,136.0
1506203,PA,2890.0
1507102,PA,382.5
1507466,PA,68.0
1507474,PA,306.0
1507961,PA,85.0
1508209,PA,765.0
1500909,PA,484.5
1501600,PA,212.5
1501709,PA,361.25
1502202,PA,1836.0
1503200,PA,1530.0
1505007,PA,1730.6
1505601,PA,2380.0
1506104,PA,411.4
1506112,PA,58.65
1506906,PA,212.5
1507409,PA,255.0
1508035,PA,437.75
1500107,PA,1980.5
1501204,PA,408.0
1502103,PA,357.0
1503309,PA,892.5
1504000,PA,20.4
1504604,PA,382.5
1500206,PA,17850.0
1502756,PA,1275.0
1504703,PA,59075.0
1508001,PA,1654.95
1501956,PA,229.5
1502301,PA,7858.25
1503077,PA,105.39999999999999
1503457,PA,51.85
1504950,PA,1445.0
1505403,PA,1979.6499999999999
1506559,PA,2128.4
1507201,PA,124.1
1507607,PA,1147.5
1508308,PA,459.0
1501006,PA,125.8
1503606,PA,104.55
1503754,PA,61.199999999999996
1505031,PA,102.0
1506195,PA,51.0
1508050,PA,501.5
1500602,PA,102.0
1500859,PA,484.5
1501725,PA,32.3
1504455,PA,255.0
1505486,PA,153.0
1507805,PA,255.0
1508159,PA,127.5
1503705,PA,637.5
1504976,PA,238.0
1501576,PA,58.65
1505502,PA,25.5
1506187,PA,20.4
1508126,PA,527.85
1502764,PA,285.59999999999997
1505437,PA,41.65
1507300,PA,25.5
1508084,PA,51.0
1502772,PA,272.0
1502954,PA,20.4
1505536,PA,1700.0
1504208,PA,1700.0
1507151,PA,136.0
1507508,PA,272.0
1506138,PA,425.0
1506161,PA,178.5
1508407,PA,10.2
1502707,PA,114.75
1506583,PA,22.099999999999998
2504306,PB,20.4
2512804,PB,30.599999999999998
2513901,PB,13.6
2502201,PB,25.5
2502409,PB,11.9
2503704,PB,214.2
2512077,PB,204.0
2513307,PB,270.3
2500700,PB,918.0
2514503,PB,4.25
2500775,PB,870.4
2503753,PB,91.8
2509156,PB,702.1
2510006,PB,37.4
2510907,PB,102.0
2512101,PB,51.0
2514206,PB,106.25
2516201,PB,4913.0
2501153,PB,15.299999999999999
2508703,PB,23.8
2510808,PB,41.65
2512606,PB,6.8
2504207,PB,23.8
2504801,PB,61.199999999999996
2505907,PB,15.299999999999999
2510204,PB,20.4
2510402,PB,47.6
2502102,PB,25.5
2504405,PB,34.0
2505303,PB,29.75
2506608,PB,42.5
2507002,PB,59.5
2511004,PB,29.75
2513505,PB,27.2
2500106,PB,34.0
2512309,PB,5.1
2514552,PB,20.4
2516607,PB,51.0
2504702,PB,119.0
2504850,PB,51.0
2508505,PB,10.2
2509701,PB,127.5
2510600,PB,6.8
2512200,PB,13.6
2515500,PB,20.4
2516300,PB,108.8
2516508,PB,25.5
2500536,PB,25.5
2501575,PB,40.8
2501708,PB,40.8
2502508,PB,17.849999999999998
2503100,PB,10.2
2504074,PB,10.2
2504355,PB,10.2
2513851,PB,17.0
2513943,PB,10.2
2514008,PB,30.599999999999998
2505709,PB,34.0
2500403,PB,47.6
2501500,PB,59.5
2502706,PB,45.9
2509339,PB,21.25
2511608,PB,212.5
2515906,PB,34.0
2500502,PB,54.4
2500809,PB,238.0
2501906,PB,89.25
2503605,PB,34.0
2505204,PB,25.5
2505808,PB,54.4
2506301,PB,68.0
2508208,PB,102.0
2508554,PB,34.0
2509800,PB,102.0
2511707,PB,25.5
2511806,PB,81.6
2515609,PB,59.5
2515930,PB,27.2
2504009,PB,40.8
2506103,PB,68.0
2508307,PB,29.75
2509206,PB,15.299999999999999
2512507,PB,21.25
2503803,PB,34.0
2506400,PB,127.5
2506806,PB,85.0
2506905,PB,144.5
2507200,PB,8.5
2507606,PB,4.25
2509404,PB,21.25
2512754,PB,10.2
2513109,PB,17.0
2501302,PB,10.2
2506251,PB,25.5
2509909,PB,85.0
2517001,PB,12.75
2501401,PB,1054.0
2504033,PB,23.8
2505238,PB,34.0
2505279,PB,47.6
2507101,PB,178.5
2507309,PB,133.45
2508901,PB,2176.0
2509057,PB,340.0
2509305,PB,612.0
2512721,PB,85.0
2512903,PB,374.0
2504900,PB,212.5
2507903,PB,12.75
2509107,PB,97.75
2511509,PB,81.6
2512762,PB,51.0
2514453,PB,21.25
2515005,PB,54.4
2515302,PB,204.0
2515971,PB,153.0
2501807,PB,29.75
2504603,PB,1487.5
2507507,PB,425.0
2508604,PB,4313.75
2513703,PB,2652.0
2500601,PB,1168.75
2503001,PB,382.5
2511202,PB,229.5
2511905,PB,4590.0
4100608,PR,59.5
4106704,PR,42.5
4107108,PR,306.0
4108908,PR,20.4
4113502,PR,68.0
4115002,PR,105.39999999999999
4118402,PR,11.9
4119707,PR,10.2
4120200,PR,10.2
4121000,PR,34.0
4125902,PR,5.1
4100509,PR,7.6499999999999995
4103479,PR,34.0
4107256,PR,5.95
4107520,PR,25.5
4109906,PR,17.0
4110607,PR,51.0
4111555,PR,2.55
4114708,PR,9.35
4117206,PR,5.1
4118907,PR,25.5
4125357,PR,212.5
4126900,PR,4.25
4128104,PR,1.7
4105508,PR,14.45
4105607,PR,27.2
4109104,PR,8.5
4110409,PR,17.0
4125555,PR,25.5
4126108,PR,13.6
4103404,PR,2.55
4105102,PR,2.55
4105904,PR,38.25
