cod_ibge,qnt_produzida,uf
3157377,108,MG
3160454,198,MG
3162708,432,MG
3168002,343,MG
3170651,42,MG
3109402,52770,MG
3129608,11970,MG
3135605,360,MG
3137304,320,MG
3138104,1950,MG
3151206,1946,MG
3154457,14700,MG
3157609,250,MG
3164209,30086,MG
3170800,15930,MG
3108602,550,MG
3111150,1000,MG
3112703,720,MG
3116506,495,MG
3118809,4464,MG
3126703,540,MG
3127354,192,MG
3129657,202,MG
3135357,84,MG
3136801,90,MG
3138658,120,MG
3138682,315,MG
3142007,178,MG
3143302,1440,MG
3147956,184,MG
3152131,72,MG
3162252,480,MG
3162401,900,MG
3162658,1500,MG
3170008,714,MG
3170909,630,MG
3171030,1037,MG
3108503,552,MG
3120300,108,MG
3127800,342,MG
3132008,144,MG
3136579,108,MG
3146255,135,MG
3107307,1980,MG
3123809,960,MG
3126604,180,MG
3128253,88,MG
3145455,194,MG
3120102,217,MG
3121001,6930,MG
3121605,1800,MG
3125408,1750,MG
3127602,875,MG
3153301,100,MG
3125507,80,MG
3165909,875,MG
3102852,1250,MG
3104452,1375,MG
3106507,288,MG
3112307,5355,MG
3113503,540,MG
3116100,336,MG
3126505,200,MG
3132503,1352,MG
3135456,198,MG
3136520,149,MG
3138351,96,MG
3141801,1308,MG
3169703,316,MG
3171071,207,MG
3103405,800,MG
3113008,132,MG
3119500,252,MG
3134004,225,MG
3145307,3103,MG
3146305,84,MG
3152170,180,MG
3171600,327,MG
3102704,250,MG
3117009,75,MG
3133303,149,MG
3141405,270,MG
3148707,64,MG
3101706,60,MG
3105202,30,MG
3122454,160,MG
3125606,48,MG
3134707,30,MG
3135803,188,MG
3136009,149,MG
3136504,60,MG
3140555,20,MG
3143153,40,MG
3146750,18,MG
3155108,79,MG
3156601,81,MG
3157104,24,MG
3158102,54,MG
3160306,54,MG
3104700,180,MG
3115458,54,MG
3126752,900,MG
3126802,120,MG
3132305,216,MG
3137007,1470,MG
3139201,531,MG
3145356,132,MG
3146206,96,MG
3148509,21,MG
3152402,1089,MG
3165552,840,MG
3168606,540,MG
3100906,24,MG
3106606,108,MG
3113701,30,MG
3120151,180,MG
3127057,12,MG
3138906,12,MG
3144300,36,MG
3157658,192,MG
3166709,9,MG
3170305,6,MG
3109808,15980,MG
3112604,59889,MG
3129103,1500,MG
3131406,14448,MG
3134202,28050,MG
3159803,2540,MG
3103504,142900,MG
3103751,2815,MG
3111804,29180,MG
3115003,4500,MG
3115805,22238,MG
3130705,69000,MG
3142809,26400,MG
3152808,10849,MG
3169604,15120,MG
3170206,143160,MG
3100104,9800,MG
3119302,71700,MG
3120706,3330,MG
3123502,1260,MG
3124807,27300,MG
3127909,3768,MG
3131604,12960,MG
3143104,105000,MG
3148103,72000,MG
3156403,51910,MG
3166808,62340,MG
3103801,1350,MG
3114303,10820,MG
3128907,15450,MG
3137502,33000,MG
3141207,153,MG
3148004,115500,MG
3155504,84234,MG
3159704,3120,MG
3162104,26100,MG
3168903,14670,MG
3111101,4440,MG
3114550,1056,MG
3116902,4485,MG
3127008,1500,MG
3127107,20188,MG
3133402,2205,MG
3134400,1275,MG
3138625,2925,MG
3150703,9792,MG
3151602,25800,MG
3161304,6440,MG
3170438,3360,MG
3100708,19600,MG
3111408,45600,MG
3117306,58200,MG
3118205,9469,MG
3121258,138,MG
3170107,301200,MG
3171105,3360,MG
3104007,36630,MG
3111507,23600,MG
3129509,114000,MG
3145000,107400,MG
3149200,28224,MG
3149804,336480,MG
3153004,17250,MG
3156908,199200,MG
3157708,34500,MG
3168101,18000,MG
3100203,5658,MG
3107000,1200,MG
3115607,488,MG
3143500,56250,MG
3146404,950,MG
3152006,18600,MG
3169356,10140,MG
3104809,1620,MG
3109204,1440,MG
3119104,990,MG
3120904,6300,MG
3125705,3120,MG
3131109,36,MG
3136405,875,MG
3142502,288,MG
3143609,464,MG
3153202,900,MG
3160603,1050,MG
3103900,300,MG
3107406,7797,MG
3123205,594,MG
3124708,2628,MG
3135308,2560,MG
3137205,378,MG
3138302,360,MG
3138807,13200,MG
3140506,4158,MG
3142403,292,MG
3153707,228,MG
3166600,126,MG
3103207,235,MG
3105004,2400,MG
3109600,25,MG
3109907,221,MG
3112505,206,MG
3118908,319,MG
3126406,780,MG
3127206,156,MG
3131000,113,MG
3134608,1050,MG
3135704,1200,MG
3139706,426,MG
3141108,720,MG
3146909,3750,MG
3147402,960,MG
3149606,180,MG
3153608,54,MG
3158508,528,MG
3159001,75,MG
3167202,765,MG
3102407,396,MG
3117504,1472,MG
3118106,450,MG
3122603,450,MG
3132800,103,MG
3143708,198,MG
3147501,175,MG
3156007,2340,MG
3160207,600,MG
3160504,78,MG
3164803,101,MG
3166501,164,MG
3167103,360,MG
3126000,50,MG
3145802,720,MG
3147105,733,MG
3151404,8910,MG
3163102,490,MG
3106705,180,MG
3109006,900,MG
3110004,300,MG
3117876,39,MG
3118601,12,MG
3124104,432,MG
3129806,30,MG
3130101,216,MG
3136652,15,MG
3137601,35,MG
3140159,24,MG
3140704,1656,MG
3144805,24,MG
3149309,90,MG
3154606,12,MG
3154804,10,MG
3156700,45,MG
3157807,24,MG
3162922,25,MG
3162955,95,MG
3165537,173,MG
3171204,27,MG
3102308,1464,MG
3105400,94,MG
3106002,13,MG
3107703,120,MG
3115359,162,MG
3121803,1200,MG
3125903,1170,MG
3131703,168,MG
3136207,9,MG
3144706,213,MG
3136603,143,MG
3155702,356,MG
3157203,210,MG
3158003,360,MG
3161007,648,MG
3161908,78,MG
3163409,683,MG
3168309,18,MG
3106408,264,MG
3108107,293,MG
3120607,1004,MG
3132206,660,MG
3133709,612,MG
3135407,720,MG
3142304,68,MG
3150406,378,MG
3155306,324,MG
3121704,1200,MG
3131901,898,MG
3140001,360,MG
3146107,540,MG
3114907,12480,MG
3115409,720,MG
3118007,480,MG
3118304,5695,MG
3120409,2136,MG
3121407,6150,MG
3123908,6930,MG
3133907,3000,MG
3145901,1879,MG
3153806,840,MG
3159100,1275,MG
3160900,315,MG
3108800,500,MG
3113800,197,MG
3116803,1230,MG
3122207,356,MG
3123106,280,MG
3127503,300,MG
3128006,739,MG
3140605,660,MG
3148400,369,MG
3156809,1800,MG
3157500,191,MG
3162807,420,MG
3165503,450,MG
3166105,150,MG
3171808,690,MG
3100609,3000,MG
3112059,360,MG
3126950,432,MG
3136553,360,MG
3148608,1386,MG
3158201,1740,MG
3163508,720,MG
3164100,825,MG
3164506,900,MG
3101805,1161,MG
3110806,60,MG
3112653,72,MG
3119203,135,MG
3122108,144,MG
3123700,60,MG
3125804,36,MG
3126901,192,MG
3127305,524,MG
3127701,1310,MG
3132701,300,MG
3133204,403,MG
3135076,270,MG
3140100,1500,MG
3171501,128,MG
3144201,180,MG
3144904,40,MG
3150000,24,MG
3161601,142,MG
3161650,370,MG
3163003,153,MG
3163300,70,MG
3167707,193,MG
3169505,750,MG
3171907,290,MG
3115706,108,MG
3131802,76,MG
3139607,197,MG
3141504,48,MG
3144672,93,MG
3161056,22,MG
3162575,45,MG
3100500,900,MG
3103009,84,MG
3106309,360,MG
3119401,21,MG
3131307,4,MG
3135001,50,MG
3136108,360,MG
3140308,168,MG
3141702,360,MG
3144359,195,MG
3149952,315,MG
3158953,37,MG
3107802,1625,MG
3109253,80,MG
3113404,2352,MG
3120003,675,MG
3122504,186,MG
3123858,135,MG
3129301,256,MG
3130556,1062,MG
3130903,2100,MG
3131158,59,MG
3150158,336,MG
3150539,596,MG
3157252,585,MG
3159357,600,MG
3160959,294,MG
3162609,174,MG
3164472,708,MG
