cod_ibge,uf,qnt_produzida
31064,MG,69601.0
31065,MG,51447.0
31066,MG,27315.0
32001,ES,3000.0
32002,ES,26160.0
32003,ES,5160.0
32004,ES,510799.0
32005,ES,938554.0
32006,ES,684525.0
32007,ES,2894.0
32008,ES,28836.0
32009,ES,11460.0
32010,ES,6880.0
32011,ES,3940.0
32012,ES,17694.0
32013,ES,339013.0
33001,RJ,21459.0
33002,RJ,7500.0
33003,RJ,1966600.0
33004,RJ,18310.0
33005,RJ,2226.0
33008,RJ,250.0
33009,RJ,850.0
33010,RJ,272204.0
33011,RJ,10470.0
33012,RJ,4321.0
33013,RJ,2184.0
33014,RJ,1018.0
33017,RJ,6248.0
33018,RJ,10292.0
35001,SP,5744410.0
35002,SP,5767850.0
35003,SP,7342790.0
35004,SP,33074647.0
35005,SP,10250329.0
35006,SP,3937172.0
35007,SP,5057500.0
35008,SP,10011120.0
35009,SP,10804381.0
35010,SP,26922730.0
35011,SP,9192850.0
35012,SP,6340898.0
35013,SP,23373620.0
35014,SP,26784256.0
35015,SP,8100848.0
35016,SP,16912912.0
35017,SP,16062200.0
35018,SP,12034160.0
35019,SP,8285847.0
35020,SP,11634960.0
35021,SP,16982712.0
35022,SP,3925017.0
35023,SP,6437110.0
35024,SP,22725495.0
35025,SP,9525000.0
35026,SP,5256500.0
35027,SP,8688516.0
35028,SP,9655934.0
35029,SP,5066722.0
35030,SP,6912978.0
35031,SP,2273510.0
35032,SP,3309609.0
35033,SP,134975.0
35034,SP,6631950.0
35035,SP,5491630.0
35036,SP,23863842.0
35037,SP,3307917.0
35038,SP,1955384.0
35039,SP,17912226.0
35040,SP,7635934.0
35041,SP,233750.0
35042,SP,640000.0
35043,SP,3480420.0
35044,SP,8120.0
35046,SP,1551112.0
35047,SP,1225.0
35048,SP,16100.0
35050,SP,240450.0
35051,SP,8967.0
35052,SP,12825.0
35053,SP,1190.0
35055,SP,1778.0
35058,SP,2.0
35061,SP,180.0
35062,SP,1000.0
41001,PR,8780176.0
41002,PR,3474203.0
41003,PR,8228591.0
41004,PR,497000.0
41005,PR,842150.0
41006,PR,7914851.0
41007,PR,1966462.0
41008,PR,219094.0
41009,PR,370714.0
41010,PR,235939.0
41011,PR,60381.0
41012,PR,704934.0
41013,PR,440492.0
41014,PR,258267.0
41015,PR,2274629.0
41016,PR,3240780.0
41017,PR,456948.0
41018,PR,87890.0
41019,PR,15620.0
41020,PR,1405.0
41022,PR,78850.0
41023,PR,23353.0
41024,PR,47285.0
41025,PR,12502.0
41026,PR,15443.0
41027,PR,11000.0
41028,PR,3502.0
41029,PR,1303.0
41030,PR,390.0
41031,PR,3095.0
41033,PR,8295.0
41034,PR,315.0
41035,PR,18960.0
41037,PR,430.0
41038,PR,14772.0
42001,SC,33808.0
42002,SC,21410.0
42003,SC,6699.0
42005,SC,18261.0
42006,SC,40.0
42008,SC,9925.0
42010,SC,1500.0
42011,SC,12905.0
42012,SC,30242.0
42013,SC,440.0
42014,SC,3520.0
42015,SC,105.0
42016,SC,10742.0
42017,SC,2166.0
42018,SC,21276.0
42019,SC,15484.0
42020,SC,2495.0
43001,RS,27465.0
43002,RS,27072.0
43003,RS,57941.0
43004,RS,47470.0
43005,RS,12365.0
43006,RS,69925.0
43007,RS,22675.0
43008,RS,13247.0
43009,RS,13735.0
43010,RS,2000.0
43011,RS,5153.0
43012,RS,1605.0
43013,RS,390.0
43014,RS,6886.0
43015,RS,280.0
43016,RS,6554.0
43017,RS,10293.0
43018,RS,17535.0
43019,RS,7585.0
43020,RS,22121.0
43021,RS,36085.0
43022,RS,8178.0
43023,RS,29726.0
43024,RS,38635.0
43025,RS,575.0
43026,RS,19764.0
43027,RS,28738.0
43028,RS,1583.0
43029,RS,2290.0
43032,RS,140.0
43033,RS,60.0
50001,MS,200.0
50002,MS,1850.0
50003,MS,1270574.0
50004,MS,618531.0
50005,MS,6891459.0
50006,MS,1748706.0
50007,MS,180627.0
50008,MS,4699025.0
50009,MS,3280.0
50010,MS,21294221.0
50011,MS,11188359.0
51001,MT,68244.0
51003,MT,800.0
51004,MT,3834306.0
51005,MT,366425.0
51006,MT,30450.0
51007,MT,500.0
51008,MT,1240.0
51010,MT,120.0
51012,MT,200.0
51013,MT,10159496.0
51014,MT,1641506.0
51015,MT,75500.0
51016,MT,25300.0
51017,MT,28750.0
51018,MT,475443.0
51019,MT,1000.0
51020,MT,3929.0
51021,MT,688960.0
51022,MT,3404300.0
52001,GO,1400.0
52002,GO,4125.0
52003,GO,371900.0
52004,GO,621008.0
52005,GO,600.0
52006,GO,8105689.0
52007,GO,926257.0
52009,GO,897431.0
52010,GO,105077.0
52012,GO,2447090.0
52013,GO,20927462.0
52014,GO,9664771.0
52015,GO,19536704.0
52017,GO,432564.0
52018,GO,12438290.0
53001,DF,17425.0
