cod_ibge,qnt_produzida,uf
3111002,3900,MG
3143401,801,MG
3151800,900,MG
3159209,5070,MG
3108305,432,MG
3125101,549,MG
3152501,990,MG
3169109,234,MG
3113602,1760,MG
3117801,741,MG
3119005,11904,MG
3129202,121,MG
3149101,215,MG
3159605,516,MG
3162005,14040,MG
3163201,332,MG
3164407,975,MG
3167400,2340,MG
3169802,2736,MG
3104908,1050,MG
3110707,3510,MG
3114105,3750,MG
3117702,15600,MG
3135902,78,MG
3167806,184,MG
3101201,692,MG
3102803,5850,MG
3120805,4680,MG
3141900,10725,MG
3165305,7560,MG
3167004,700,MG
3114600,24050,MG
3130408,663,MG
3130804,10080,MG
3134301,1440,MG
3134509,12600,MG
3138203,3024,MG
3138708,10800,MG
3144607,4320,MG
3115201,660,MG
3119708,1262,MG
3123007,600,MG
3137403,7800,MG
3139102,39000,MG
3144508,4680,MG
3150307,4464,MG
3152709,900,MG
3154200,1239,MG
3156106,150,MG
3158706,316,MG
3162500,27300,MG
3102902,507,MG
3113206,1800,MG
3129400,1332,MG
3154408,333,MG
5101407,10272,MT
5101902,851453,MT
5102850,4620,MT
5103379,3656,MT
5105150,48578,MT
5105176,1247,MT
5107578,87,MT
5100250,104755,MT
5100805,2228,MT
5102793,43989,MT
5106158,765,MT
5108956,27691,MT
5106299,52156,MT
5103205,68034,MT
5104104,45760,MT
5105606,144585,MT
5106216,180935,MT
5108808,43500,MT
5106265,163200,MT
5106422,121600,MT
5108055,107040,MT
5102637,1304958,MT
5102686,735075,MT
5103304,281641,MT
5103502,1315239,MT
5107875,1319731,MT
5105101,180000,MT
5108907,648000,MT
5106273,18162,MT
5106802,588770,MT
5107305,405000,MT
5107941,604260,MT
5104526,702000,MT
5104542,349440,MT
5105259,775500,MT
5105903,153397,MT
5106224,1337280,MT
5106240,1301915,MT
5107768,546960,MT
5107925,2010960,MT
5108006,572400,MT
5103056,336600,MT
5103700,445500,MT
5104559,162600,MT
5105580,256000,MT
5106190,102400,MT
5107248,392040,MT
5107909,574200,MT
5108303,205400,MT
5108501,508200,MT
5103858,589669,MT
5106208,17057,MT
5106307,742560,MT
5106455,118734,MT
5100359,105628,MT
5101852,400583,MT
