,cod_ibge,qnt_produzida,uf
184,3123205,5769.215999999999,MG
185,3124708,2826.0144,MG
186,3135308,991.584,MG
187,3137205,2509.008,MG
188,3138302,148.7376,MG
189,3138807,21702.167999999998,MG
190,3140506,14648.4,MG
191,3153707,270.432,MG
192,3105004,2980.7616,MG
193,3131000,2207.0256,MG
194,3141108,2253.6,MG
195,3146909,1983.168,MG
196,3167202,450.71999999999997,MG
197,3145802,270.432,MG
198,3132206,686.5968,MG
199,3114907,908.952,MG
200,3120409,1735.272,MG
201,3105103,60847.2,MG
202,3119807,540.864,MG
203,3130309,55946.3712,MG
204,3141306,34651.3536,MG
205,3151503,51111.648,MG
206,3164308,15955.488,MG
207,3168200,2253.6,MG
208,3170602,3082.9248,MG
209,3116605,2570.6064,MG
210,3104205,31730.688,MG
211,3119955,4687.488,MG
212,3126109,97355.52,MG
213,3133501,4795.6608,MG
214,3146503,13963.3056,MG
215,3150505,29552.208,MG
216,3100807,2235.5712,MG
217,3111200,2163.456,MG
218,3111903,528.8448,MG
219,3112000,6057.6768,MG
220,3120201,24744.528,MG
221,3149903,1840.44,MG
222,3108008,1338.6384,MG
223,3114006,793.2672,MG
224,3130002,58.593599999999995,MG
225,3145604,585.936,MG
226,3159902,937.4975999999999,MG
227,3161205,405.64799999999997,MG
228,3101904,15820.271999999999,MG
229,3107604,21923.0208,MG
230,3112406,6219.936,MG
231,3112802,2704.3199999999997,MG
232,3115102,22914.6048,MG
233,3121209,71538.2784,MG
234,3129707,3245.1839999999997,MG
235,3133758,5273.424,MG
236,3147907,68779.872,MG
237,3152907,23437.44,MG
238,3162203,26367.12,MG
239,3162948,17578.079999999998,MG
240,3104106,432.6912,MG
241,3109501,2826.0144,MG
242,3128303,1893.024,MG
243,3128709,4613.8704,MG
244,3132909,135.216,MG
245,3134806,6760.8,MG
246,3143005,703.1232,MG
247,3143203,3245.1839999999997,MG
248,3145109,5273.424,MG
249,3163904,10060.0704,MG
250,3164704,3222.6479999999997,MG
251,3165107,2050.776,MG
252,3101607,65940.336,MG
253,3102001,7031.232,MG
254,3104304,7031.232,MG
255,3114402,30198.239999999998,MG
256,3114709,381.6096,MG
257,3117108,4218.7392,MG
258,3122405,6490.3679999999995,MG
259,3125200,549.8783999999999,MG
260,3139003,27043.2,MG
261,3147204,25961.471999999998,MG
262,3151701,192.3072,MG
263,3166907,3353.3568,MG
264,3107109,26826.8544,MG
265,3110905,13746.96,MG
266,3111309,10817.279999999999,MG
267,3111606,10546.848,MG
268,3113909,8789.039999999999,MG
269,3118700,9519.2064,MG
270,3123601,10817.279999999999,MG
271,3128105,19921.824,MG
272,3142601,5453.7119999999995,MG
273,3158300,6275.5248,MG
274,3160801,5258.4,MG
275,3165206,285.456,MG
276,3169307,67758.24,MG
277,3169406,15144.192,MG
278,3170701,659.5536,MG
279,3102605,2929.68,MG
280,3105301,234.37439999999998,MG
281,3110301,2929.68,MG
282,3111002,5859.36,MG
283,3143401,1203.4224,MG
284,3151800,1352.1599999999999,MG
285,3159209,7617.168,MG
286,3108305,649.0368,MG
287,3125101,824.8176,MG
288,3152501,1487.376,MG
289,3169109,351.5616,MG
290,3113602,2644.2239999999997,MG
291,3117801,1113.2784,MG
292,3119005,17884.5696,MG
293,3129202,181.7904,MG
294,3149101,323.01599999999996,MG
295,3159605,775.2384,MG
296,3162005,21093.696,MG
297,3163201,498.79679999999996,MG
298,3164407,1464.84,MG
299,3167400,3515.616,MG
300,3169802,4110.5664,MG
301,3104908,1577.52,MG
302,3110707,5273.424,MG
303,3114105,5634.0,MG
304,3117702,23437.44,MG
305,3135902,117.18719999999999,MG
306,3167806,276.4416,MG
307,3101201,1039.6607999999999,MG
308,3102803,8789.039999999999,MG
309,3120805,7031.232,MG
310,3141900,16113.24,MG
311,3165305,11358.144,MG
312,3167004,1051.68,MG
313,3114600,36132.72,MG
314,3130408,996.0912,MG
315,3130804,15144.192,MG
316,3134301,2163.456,MG
317,3134509,18930.239999999998,MG
318,3138203,4543.2576,MG
319,3138708,16225.92,MG
320,3144607,6490.3679999999995,MG
321,3115201,991.584,MG
322,3119708,1896.0288,MG
323,3123007,901.4399999999999,MG
324,3137403,11718.72,MG
325,3139102,58593.6,MG
326,3144508,7031.232,MG
327,3150307,6706.7136,MG
328,3152709,1352.1599999999999,MG
329,3154200,1861.4736,MG
330,3156106,225.35999999999999,MG
331,3158706,474.7584,MG
332,3162500,41015.52,MG
333,3102902,761.7168,MG
334,3113206,2704.3199999999997,MG
335,3129400,2001.1968,MG
336,3154408,500.2992,MG
337,5101407,15432.6528,MT
338,5101902,1279222.9871999999,MT
339,5102850,6941.088,MT
340,5103379,5492.7744,MT
341,5105150,72983.5872,MT
342,5105176,1873.4928,MT
343,5107578,130.7088,MT
344,5100250,157383.91199999998,MT
345,5100805,3347.3471999999997,MT
346,5102793,66089.0736,MT
347,5106158,1149.336,MT
348,5108956,41602.958399999996,MT
349,5106299,78359.1744,MT
350,5103205,102214.2816,MT
351,5104104,68749.824,MT
352,5105606,217224.504,MT
353,5106216,271836.744,MT
354,5108808,65354.4,MT
355,5106265,245191.68,MT
356,5106422,182691.84,MT
357,5108055,160816.896,MT
358,5102637,1960568.8991999999,MT
359,5102686,1104376.68,MT
360,5103304,423137.4384,MT
361,5103502,1976015.0736,MT
362,5107875,1982763.8543999998,MT
363,5105101,270432.0,MT
364,5108907,973555.2,MT
365,5106273,27286.588799999998,MT
366,5106802,884568.048,MT
367,5107305,608472.0,MT
368,5107941,907840.2239999999,MT
369,5104526,1054684.8,MT
370,5104542,524998.656,MT
371,5105259,1165111.2,MT
372,5105903,230463.65279999998,MT
373,5106224,2009129.4719999998,MT
374,5106240,1955997.096,MT
375,5107768,821752.704,MT
376,5107925,3021266.304,MT
377,5108006,859973.76,MT
378,5103056,505707.83999999997,MT
379,5103700,669319.2,MT
380,5104559,244290.24,MT
381,5105580,384614.39999999997,MT
382,5106190,153845.76,MT
383,5107248,589000.896,MT
384,5107909,862678.08,MT
385,5108303,308592.95999999996,MT
386,5108501,763519.6799999999,MT
387,5103858,885918.7056,MT
388,5106208,25626.4368,MT
389,5106307,1115622.1439999999,MT
390,5106455,178385.96159999998,MT
391,5100359,158695.5072,MT
392,5101852,601835.8992,MT
393,5102694,155140.8288,MT
394,5103353,301850.1888,MT
395,5105309,2788.4544,MT
396,5106315,5661.0432,MT
397,5106778,216345.6,MT
398,5107180,473256.0,MT
399,5107743,202553.568,MT
400,5107776,162259.19999999998,MT
401,5107859,1088978.5824,MT
402,5107354,632510.4,MT
403,5107883,31607.4912,MT
404,5108600,270432.0,MT
405,5100201,914961.6,MT
406,5102603,137018.88,MT
407,5102702,1582027.2,MT
408,5106174,83653.632,MT
409,5106257,318163.24799999996,MT
410,5106281,386717.76,MT
411,5107065,1950571.9296,MT
412,5107792,522835.2,MT
413,5101001,19812.1488,MT
414,5101803,185922.0,MT
415,5103106,61974.0,MT
416,5103361,44615.2704,MT
417,5106182,167675.35199999998,MT
418,5106752,168591.816,MT
419,5105507,201359.16,MT
420,5101704,7191.9888,MT
421,5103452,24299.8176,MT
422,5106232,16634.572799999998,MT
423,5106851,396.6336,MT
424,5107958,1072429.6464,MT
425,5101258,7259.596799999999,MT
426,5104500,7191.9888,MT
427,5105234,9445.5888,MT
428,5105622,11335.608,MT
429,5106828,13380.374399999999,MT
430,5107206,321.5136,MT
431,5107750,11101.2336,MT
432,5107107,12749.366399999999,MT
433,5100508,35470.1616,MT
434,5101308,18632.7648,MT
435,5106000,133773.696,MT
436,5108857,28348.7856,MT
437,5107263,78994.6896,MT
438,5104906,10216.32,MT
439,5107701,188100.47999999998,MT
440,5103007,172206.5904,MT
441,5103403,1766.8224,MT
442,5106109,13886.6832,MT
443,5107800,202621.176,MT
444,5102504,38260.1184,MT
445,5106505,45072.0,MT
446,5102678,1271030.4,MT
447,5107040,1411655.04,MT
448,5101209,6485.8607999999995,MT
449,5103908,291525.696,MT
450,5104203,355527.936,MT
451,5106653,10932.9648,MT
452,5107008,337228.70399999997,MT
453,5107198,101087.4816,MT
454,5108105,143869.824,MT
455,5108204,101637.36,MT
456,5103601,188220.672,MT
457,5104609,924877.44,MT
458,5104807,261417.6,MT
459,5105200,185083.66079999998,MT
460,5106372,344883.432,MT
461,5107602,436747.68,MT
462,5107404,10775.2128,MT
463,5100300,217926.1248,MT
464,5100409,481594.32,MT
465,5100607,303262.4448,MT
466,5003207,23632.752,MS
467,5006903,34705.44,MS
468,5000708,51146.203199999996,MS
469,5003488,74386.8288,MS
470,5005608,39475.56,MS
471,5000252,46874.88,MS
472,5002605,141728.904,MS
473,5003306,63100.799999999996,MS
474,5003900,11663.1312,MS
475,5006408,54537.119999999995,MS
476,5007406,107046.0,MS
477,5007695,757209.6,MS
478,5007935,301306.32,MS
479,5001508,434193.6,MS
480,5002704,593147.52,MS
481,5003108,2439.8976,MS
482,5004908,156309.696,MS
483,5007307,18580.1808,MS
484,5007505,30648.96,MS
485,5007901,1398734.4,MS
486,5008008,151694.32319999998,MS
487,5002902,58593.6,MS
488,5002951,631008.0,MS
489,5003256,478063.68,MS
490,5006275,408652.8,MS
491,5001003,8520.1104,MS
492,5006309,15658.0128,MS
493,5007802,6153.8304,MS
494,5000203,14377.967999999999,MS
495,5002308,14230.7328,MS
496,5007109,125976.23999999999,MS
497,5007554,6645.1152,MS
498,5008305,1035.1535999999999,MS
499,5000807,122701.008,MS
500,5001904,39543.168,MS
501,5002001,135441.36,MS
502,5006200,210594.4128,MS
503,5007976,31550.399999999998,MS
504,5002100,214422.528,MS
505,5002159,37608.0768,MS
506,5002209,302358.0,MS
507,5002803,17264.0784,MS
508,5004106,120342.23999999999,MS
509,5005004,92926.4448,MS
510,5005806,37023.6432,MS
511,5000609,505707.83999999997,MS
512,5000906,236628.0,MS
513,5001243,621993.6,MS
514,5002407,578424.0,MS
515,5003504,78425.28,MS
516,5003702,1027641.6,MS
517,5003801,75720.95999999999,MS
518,5004502,439452.0,MS
519,5005152,123848.8416,MS
520,5005251,685545.12,MS
521,5005400,1675326.24,MS
522,5006002,279333.72,MS
